hello what are doing today ? <eos>	i am good , i just got off work and tired , i have two jobs .
hello , how are you tonight ? do you have pink and blue hair ? <eos> hi , i am doing pretty good these evening <eos> what do you like to do in your spare time ? i bird watch . <eos> i actually have purple hair and i love it and enjoy watching war documentaries <eos> those are fun . i have a cat , do you ? <eos> i have a bird and she loves cheeseburgers like me , my favorite <eos> is that healthy for birds ? <eos>	probably not but a bite here and there i think is okay
hello , how are you tonight ? do you have pink and blue hair ? <eos> hi , i am doing pretty good these evening <eos> what do you like to do in your spare time ? i bird watch . <eos> i actually have purple hair and i love it and enjoy watching war documentaries <eos> those are fun . i have a cat , do you ? <eos> i have a bird and she loves cheeseburgers like me , my favorite <eos> is that healthy for birds ? <eos> probably not but a bite here and there i think is okay <eos>	do you like the holidays ? i do not .
hello , how are you tonight ? do you have pink and blue hair ? <eos> hi , i am doing pretty good these evening <eos> what do you like to do in your spare time ? i bird watch . <eos> i actually have purple hair and i love it and enjoy watching war documentaries <eos> those are fun . i have a cat , do you ? <eos> i have a bird and she loves cheeseburgers like me , my favorite <eos> is that healthy for birds ? <eos> probably not but a bite here and there i think is okay <eos> do you like the holidays ? i do not . <eos>	i do love the holidays i volunteer a soup kitchen during the holiday season
hello , how are you tonight ? do you have pink and blue hair ? <eos> hi , i am doing pretty good these evening <eos> what do you like to do in your spare time ? i bird watch . <eos> i actually have purple hair and i love it and enjoy watching war documentaries <eos> those are fun . i have a cat , do you ? <eos> i have a bird and she loves cheeseburgers like me , my favorite <eos> is that healthy for birds ? <eos> probably not but a bite here and there i think is okay <eos> do you like the holidays ? i do not . <eos> i do love the holidays i volunteer a soup kitchen during the holiday season <eos>	i get depressed . how old are you ? i am very old .
hello , how are you tonight ? do you have pink and blue hair ? <eos> hi , i am doing pretty good these evening <eos> what do you like to do in your spare time ? i bird watch . <eos> i actually have purple hair and i love it and enjoy watching war documentaries <eos> those are fun . i have a cat , do you ? <eos> i have a bird and she loves cheeseburgers like me , my favorite <eos> is that healthy for birds ? <eos> probably not but a bite here and there i think is okay <eos> do you like the holidays ? i do not . <eos> i do love the holidays i volunteer a soup kitchen during the holiday season <eos> i get depressed . how old are you ? i am very old . <eos>	oh man sorry about that , i am 33 and love giving back i grew up poor
hello , how are you tonight ? do you have pink and blue hair ? <eos> hi , i am doing pretty good these evening <eos> what do you like to do in your spare time ? i bird watch . <eos> i actually have purple hair and i love it and enjoy watching war documentaries <eos> those are fun . i have a cat , do you ? <eos> i have a bird and she loves cheeseburgers like me , my favorite <eos> is that healthy for birds ? <eos> probably not but a bite here and there i think is okay <eos> do you like the holidays ? i do not . <eos> i do love the holidays i volunteer a soup kitchen during the holiday season <eos> i get depressed . how old are you ? i am very old . <eos> oh man sorry about that , i am 33 and love giving back i grew up poor <eos>	i did too , back during the great depression .
hello , how are you tonight ? do you have pink and blue hair ? <eos> hi , i am doing pretty good these evening <eos> what do you like to do in your spare time ? i bird watch . <eos> i actually have purple hair and i love it and enjoy watching war documentaries <eos> those are fun . i have a cat , do you ? <eos> i have a bird and she loves cheeseburgers like me , my favorite <eos> is that healthy for birds ? <eos> probably not but a bite here and there i think is okay <eos> do you like the holidays ? i do not . <eos> i do love the holidays i volunteer a soup kitchen during the holiday season <eos> i get depressed . how old are you ? i am very old . <eos> oh man sorry about that , i am 33 and love giving back i grew up poor <eos> i did too , back during the great depression . <eos>	oh wow , i can imagine it was a very hard time
hello , how are you tonight ? do you have pink and blue hair ? <eos> hi , i am doing pretty good these evening <eos> what do you like to do in your spare time ? i bird watch . <eos> i actually have purple hair and i love it and enjoy watching war documentaries <eos> those are fun . i have a cat , do you ? <eos> i have a bird and she loves cheeseburgers like me , my favorite <eos> is that healthy for birds ? <eos> probably not but a bite here and there i think is okay <eos> do you like the holidays ? i do not . <eos> i do love the holidays i volunteer a soup kitchen during the holiday season <eos> i get depressed . how old are you ? i am very old . <eos> oh man sorry about that , i am 33 and love giving back i grew up poor <eos> i did too , back during the great depression . <eos> oh wow , i can imagine it was a very hard time <eos>	it was , but it made us strong .
hello , how are you tonight ? do you have pink and blue hair ? <eos> hi , i am doing pretty good these evening <eos> what do you like to do in your spare time ? i bird watch . <eos> i actually have purple hair and i love it and enjoy watching war documentaries <eos> those are fun . i have a cat , do you ? <eos> i have a bird and she loves cheeseburgers like me , my favorite <eos> is that healthy for birds ? <eos> probably not but a bite here and there i think is okay <eos> do you like the holidays ? i do not . <eos> i do love the holidays i volunteer a soup kitchen during the holiday season <eos> i get depressed . how old are you ? i am very old . <eos> oh man sorry about that , i am 33 and love giving back i grew up poor <eos> i did too , back during the great depression . <eos> oh wow , i can imagine it was a very hard time <eos> it was , but it made us strong . <eos>	yes it really did , that is why i enjoy y volunteer work
hi , how are you doing today ? <eos>	good ! you ! celebrating with fellow centenarians
hi , how are you doing today ? <eos> good ! you ! celebrating with fellow centenarians <eos>	nice . i am playing some card games with my family .
hi , how are you doing today ? <eos> good ! you ! celebrating with fellow centenarians <eos> nice . i am playing some card games with my family . <eos>	that sounds like fun . i like wine and dancing too !
hi , how are you doing today ? <eos> good ! you ! celebrating with fellow centenarians <eos> nice . i am playing some card games with my family . <eos> that sounds like fun . i like wine and dancing too ! <eos>	same . i try to get a small workout in a three mile walk for me is key .
